i	fft	w	rw	c
213	0.068208	0.019912	0.000670	0
214	0.047930	0.013739	0.000462	0
215	0.034932	0.009820	0.000331	0
216	0.026222	0.007223	0.000243	0
217	0.020169	0.005441	0.000183	0
218	0.015834	0.004182	0.000141	0
219	0.012649	0.003271	0.000110	0
220	0.010258	0.002596	0.000087	0
221	0.008428	0.002088	0.000070	0
222	0.007005	0.001699	0.000057	0
223	0.005882	0.001397	0.000047	0
224	0.004984	0.001160	0.000039	0
225	0.004258	0.000971	0.000033	0
226	0.003664	0.000819	0.000028	0
227	0.003175	0.000695	0.000023	0
228	0.002767	0.000594	0.000020	0
229	0.002425	0.000511	0.000017	0
230	0.002137	0.000442	0.000015	0
231	0.001891	0.000384	0.000013	0
232	0.001682	0.000335	0.000011	0
233	0.001501	0.000294	0.000010	0
234	0.001345	0.000258	0.000009	0
235	0.001209	0.000228	0.000008	0
236	0.001091	0.000202	0.000007	0
237	0.000987	0.000180	0.000006	0
238	0.000896	0.000161	0.000005	0
239	0.000815	0.000144	0.000005	0
240	0.000744	0.000129	0.000004	0
241	0.000680	0.000116	0.000004	0
242	0.000624	0.000105	0.000004	0
243	0.000573	0.000095	0.000003	0
244	0.000527	0.000086	0.000003	0
245	0.000487	0.000078	0.000003	0
246	0.000450	0.000071	0.000002	0
247	0.000416	0.000065	0.000002	0
248	0.000386	0.000059	0.000002	0
249	0.000359	0.000054	0.000002	0
250	0.000334	0.000050	0.000002	0
251	0.000311	0.000046	0.000002	0
252	0.000290	0.000042	0.000001	0
253	0.000271	0.000039	0.000001	0
254	0.000254	0.000036	0.000001	0
255	0.000238	0.000033	0.000001	0
256	0.000223	0.000031	0.000001	0
257	0.000209	0.000028	0.000001	0
258	0.000197	0.000026	0.000001	0
259	0.000185	0.000024	0.000001	0
260	0.000175	0.000023	0.000001	0
261	0.000165	0.000021	0.000001	0
262	0.000156	0.000020	0.000001	0
263	0.000147	0.000018	0.000001	0
264	0.000139	0.000017	0.000001	0
265	0.000132	0.000016	0.000001	0
266	0.000125	0.000015	0.000001	0
267	0.000119	0.000014	0.000000	0
268	0.000113	0.000013	0.000000	0
269	0.000107	0.000012	0.000000	0
270	0.000102	0.000012	0.000000	0
271	0.000097	0.000011	0.000000	0
272	0.000093	0.000010	0.000000	0
273	0.000089	0.000010	0.000000	0
274	0.000085	0.000009	0.000000	0
275	0.000081	0.000008	0.000000	0
276	0.000077	0.000008	0.000000	0
277	0.000074	0.000008	0.000000	0
278	0.000071	0.000007	0.000000	0
279	0.000068	0.000007	0.000000	0
280	0.000065	0.000006	0.000000	0
281	0.000063	0.000006	0.000000	0
282	0.000060	0.000006	0.000000	0
283	0.000058	0.000005	0.000000	0
284	0.000056	0.000005	0.000000	0
285	0.000054	0.000005	0.000000	0
286	0.000052	0.000005	0.000000	0
287	0.000050	0.000004	0.000000	0
288	0.000048	0.000004	0.000000	0
289	0.000046	0.000004	0.000000	0
290	0.000045	0.000004	0.000000	0
291	0.000043	0.000004	0.000000	0
292	0.000042	0.000003	0.000000	0
293	0.000041	0.000003	0.000000	0
294	0.000039	0.000003	0.000000	0
295	0.000038	0.000003	0.000000	0
296	0.000037	0.000003	0.000000	0
297	0.000036	0.000003	0.000000	0
298	0.000035	0.000003	0.000000	0
299	0.000034	0.000002	0.000000	0
300	0.000033	0.000002	0.000000	0
301	0.000032	0.000002	0.000000	0
302	0.000031	0.000002	0.000000	0
303	0.000030	0.000002	0.000000	0
304	0.000029	0.000002	0.000000	0
305	0.000029	0.000002	0.000000	0
306	0.000028	0.000002	0.000000	0
307	0.000027	0.000002	0.000000	0
308	0.000026	0.000002	0.000000	0
309	0.000026	0.000002	0.000000	0
310	0.000025	0.000002	0.000000	0
311	0.000025	0.000001	0.000000	0
312	0.000024	0.000001	0.000000	0
313	0.000024	0.000001	0.000000	0
314	0.000023	0.000001	0.000000	0
315	0.000022	0.000001	0.000000	0
316	0.000022	0.000001	0.000000	0
317	0.000022	0.000001	0.000000	0
318	0.000021	0.000001	0.000000	0
319	0.000021	0.000001	0.000000	0
320	0.000020	0.000001	0.000000	0
321	0.000020	0.000001	0.000000	0
322	0.000019	0.000001	0.000000	0
323	0.000019	0.000001	0.000000	0
324	0.000019	0.000001	0.000000	0
325	0.000018	0.000001	0.000000	0
326	0.000018	0.000001	0.000000	0
327	0.000018	0.000001	0.000000	0
328	0.000017	0.000001	0.000000	0
329	0.000017	0.000001	0.000000	0
330	0.000017	0.000001	0.000000	0
331	0.000017	0.000001	0.000000	0
332	0.000016	0.000001	0.000000	0
333	0.000016	0.000001	0.000000	0
334	0.000016	0.000001	0.000000	0
335	0.000015	0.000001	0.000000	0
336	0.000015	0.000001	0.000000	0
337	0.000015	0.000001	0.000000	0
338	0.000015	0.000001	0.000000	0
339	0.000014	0.000001	0.000000	0
340	0.000014	0.000001	0.000000	0
341	0.000014	0.000001	0.000000	0
342	0.000014	0.000001	0.000000	0
343	0.000014	0.000001	0.000000	0
344	0.000013	0.000001	0.000000	0
345	0.000013	0.000001	0.000000	0
346	0.000013	0.000001	0.000000	0
347	0.000013	0.000001	0.000000	0
348	0.000013	0.000000	0.000000	0
349	0.000012	0.000000	0.000000	0
350	0.000012	0.000000	0.000000	0
351	0.000012	0.000000	0.000000	0
352	0.000012	0.000000	0.000000	0
353	0.000012	0.000000	0.000000	0
354	0.000012	0.000000	0.000000	0
355	0.000011	0.000000	0.000000	0
356	0.000011	0.000000	0.000000	0
357	0.000011	0.000000	0.000000	0
358	0.000011	0.000000	0.000000	0
359	0.000011	0.000000	0.000000	0
360	0.000011	0.000000	0.000000	0
361	0.000011	0.000000	0.000000	0
362	0.000010	0.000000	0.000000	0
363	0.000010	0.000000	0.000000	0
364	0.000010	0.000000	0.000000	0
365	0.000010	0.000000	0.000000	0
366	0.000010	0.000000	0.000000	0
367	0.000010	0.000000	0.000000	0
368	0.000010	0.000000	0.000000	0
369	0.000010	0.000000	0.000000	0
370	0.000009	0.000000	0.000000	0
371	0.000009	0.000000	0.000000	0
372	0.000009	0.000000	0.000000	0
373	0.000009	0.000000	0.000000	0
374	0.000009	0.000000	0.000000	0
375	0.000009	0.000000	0.000000	0
376	0.000009	0.000000	0.000000	0
377	0.000009	0.000000	0.000000	0
378	0.000009	0.000000	0.000000	0
379	0.000008	0.000000	0.000000	0
380	0.000008	0.000000	0.000000	0
381	0.000008	0.000000	0.000000	0
382	0.000008	0.000000	0.000000	0
383	0.000008	0.000000	0.000000	0
384	0.000008	0.000000	0.000000	0
385	0.000008	0.000000	0.000000	0
386	0.000008	0.000000	0.000000	0
387	0.000008	0.000000	0.000000	0
388	0.000008	0.000000	0.000000	0
389	0.000007	0.000000	0.000000	0
390	0.000007	0.000000	0.000000	0
391	0.000007	0.000000	0.000000	0
392	0.000007	0.000000	0.000000	0
393	0.000007	0.000000	0.000000	0
394	0.000007	0.000000	0.000000	0
395	0.000007	0.000000	0.000000	0
396	0.000007	0.000000	0.000000	0
397	0.000007	0.000000	0.000000	0
398	0.000007	0.000000	0.000000	0
399	0.000007	0.000000	0.000000	0
400	0.000007	0.000000	0.000000	0
401	0.000006	0.000000	0.000000	0
402	0.000006	0.000000	0.000000	0
403	0.000006	0.000000	0.000000	0
404	0.000006	0.000000	0.000000	0
405	0.000006	0.000000	0.000000	0
406	0.000006	0.000000	0.000000	0
407	0.000006	0.000000	0.000000	0
408	0.000006	0.000000	0.000000	0
409	0.000006	0.000000	0.000000	0
410	0.000006	0.000000	0.000000	0
411	0.000006	0.000000	0.000000	0
412	0.000006	0.000000	0.000000	0
413	0.000006	0.000000	0.000000	0
414	0.000006	0.000000	0.000000	0
415	0.000005	0.000000	0.000000	0
416	0.000005	0.000000	0.000000	0
417	0.000005	0.000000	0.000000	0
418	0.000005	0.000000	0.000000	0
419	0.000005	0.000000	0.000000	0
420	0.000005	0.000000	0.000000	0
421	0.000005	0.000000	0.000000	0
422	0.000005	0.000000	0.000000	0
423	0.000005	0.000000	0.000000	0
424	0.000005	0.000000	0.000000	0
425	0.000005	0.000000	0.000000	0
426	0.000005	0.000000	0.000000	0
427	0.000005	0.000000	0.000000	0
428	0.000005	0.000000	0.000000	0
429	0.000005	0.000000	0.000000	0
430	0.000005	0.000000	0.000000	0
431	0.000004	0.000000	0.000000	0
432	0.000004	0.000000	0.000000	0
433	0.000004	0.000000	0.000000	0
434	0.000004	0.000000	0.000000	0
435	0.000004	0.000000	0.000000	0
436	0.000004	0.000000	0.000000	0
437	0.000004	0.000000	0.000000	0
438	0.000004	0.000000	0.000000	0
439	0.000004	0.000000	0.000000	0
440	0.000004	0.000000	0.000000	0
441	0.000004	0.000000	0.000000	0
442	0.000004	0.000000	0.000000	0
443	0.000004	0.000000	0.000000	0
444	0.000004	0.000000	0.000000	0
445	0.000004	0.000000	0.000000	0
446	0.000004	0.000000	0.000000	0
447	0.000004	0.000000	0.000000	0
448	0.000004	0.000000	0.000000	0
449	0.000003	0.000000	0.000000	0
450	0.000003	0.000000	0.000000	0
451	0.000003	0.000000	0.000000	0
452	0.000003	0.000000	0.000000	0
453	0.000003	0.000000	0.000000	0
454	0.000003	0.000000	0.000000	0
455	0.000003	0.000000	0.000000	0
456	0.000003	0.000000	0.000000	0
457	0.000003	0.000000	0.000000	0
458	0.000003	0.000000	0.000000	0
459	0.000003	0.000000	0.000000	0
460	0.000003	0.000000	0.000000	0
461	0.000003	0.000000	0.000000	0
462	0.000003	0.000000	0.000000	0
463	0.000003	0.000000	0.000000	0
464	0.000003	0.000000	0.000000	0
465	0.000003	0.000000	0.000000	0
466	0.000003	0.000000	0.000000	0
467	0.000003	0.000000	0.000000	0
468	0.000003	0.000000	0.000000	0
469	0.000003	0.000000	0.000000	0
470	0.000003	0.000000	0.000000	0
471	0.000003	0.000000	0.000000	0
472	0.000002	0.000000	0.000000	0
473	0.000002	0.000000	0.000000	0
474	0.000002	0.000000	0.000000	0
475	0.000002	0.000000	0.000000	0
476	0.000002	0.000000	0.000000	0
477	0.000002	0.000000	0.000000	0
478	0.000002	0.000000	0.000000	0
479	0.000002	0.000000	0.000000	0
480	0.000002	0.000000	0.000000	0
481	0.000002	0.000000	0.000000	0
482	0.000002	0.000000	0.000000	0
483	0.000002	0.000000	0.000000	0
484	0.000002	0.000000	0.000000	0
485	0.000002	0.000000	0.000000	0
486	0.000002	0.000000	0.000000	0
487	0.000002	0.000000	0.000000	0
488	0.000002	0.000000	0.000000	0
489	0.000002	0.000000	0.000000	0
490	0.000002	0.000000	0.000000	0
491	0.000002	0.000000	0.000000	0
492	0.000002	0.000000	0.000000	0
493	0.000002	0.000000	0.000000	0
494	0.000002	0.000000	0.000000	0
495	0.000002	0.000000	0.000000	0
496	0.000002	0.000000	0.000000	0
497	0.000002	0.000000	0.000000	0
498	0.000002	0.000000	0.000000	0
499	0.000002	0.000000	0.000000	0
500	0.000002	0.000000	0.000000	0
501	0.000002	0.000000	0.000000	0
